character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,False
10,24,False
10,26,False
10,236,False
10,43,False
10,14,False
10,40,False
10,41,False
10,15,False
10,20,False
10,21,False
10,16,False
10,25,False
10,84,False
10,75,False
10,39,False
10,360,False
10,361,False
10,28,False
10,68,False
10,178,False
10,182,False
10,179,False
10,365,False
10,366,False
10,27,False
10,350,False
10,351,False
10,352,False
10,363,False
10,90,False
10,199,False
10,73,False
10,67,False
10,72,False
10,77,False
10,85,False
10,66,False
10,71,False
10,18,False
10,244,True
10,53,False
10,214,False
10,65535,False
10,216,True
10,218,True
10,44,False
10,88,False
10,183,False
10,186,False
10,56,False
10,368,False
10,369,True
10,252,False
10,253,False
10,35,False
10,0,False
10,12,False
10,13,False
10,17,False
10,212,False
10,364,True
10,245,False
10,180,False
10,65,False
10,78,False
10,76,False
10,79,False
