character,action,zeroindex
10,322,False
10,323,False
10,324,False
10,29,False
10,42,True
10,14,False
10,341,False
10,342,False
10,343,False
10,20,False
10,21,False
10,24,False
10,25,False
10,350,False
10,351,False
10,352,False
10,43,False
10,18,False
10,23,False
10,68,False
10,44,False
10,27,False
10,73,False
10,28,False
10,66,False
10,71,False
10,226,False
10,227,True
10,228,True
10,242,False
10,90,False
10,183,False
10,187,False
10,67,False
10,72,False
10,51,False
10,15,False
10,26,False
10,86,False
10,56,False
10,16,False
10,17,False
10,65,False
10,70,False
10,35,False
10,0,False
